City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,margaret river,-33.95,115.0667,15.88,71,100,7.51,AU,1688880763
84,minas de marcona,-15.2119,-75.1103,11.06,90,35,4.54,PE,1688880765
85,rio gallegos,-51.6226,-69.2181,-2.97,74,0,4.63,AR,1688880766
86,palmer,42.1584,-72.3287,23.34,85,40,2.06,US,1688880767
87,bredasdorp,-34.5322,20.0403,9.27,86,96,4.07,ZA,1688880768
88,whitehorse,60.7161,-135.0538,25.43,23,75,2.57,CA,1688880598
89,itaituba,-4.2761,-55.9836,24.25,81,64,0.92,BR,1688880770
90,kiunga,-6.1219,141.2906,25.96,97,99,1.42,PG,1688880773
91,tura,25.5198,90.2201,30.14,70,99,2.92,IN,1688880774
92,west island,-12.1568,96.8225,27.99,69,40,6.17,CC,1688880775
93,torghay,49.6339,63.4981,31.51,24,14,3.58,KZ,1688880776
94,tralee,52.2704,-9.7026,12.63,91,96,2.58,IE,1688880777
95,vila franca do campo,37.7167,-25.4333,17.23,78,4,1.85,PT,1688880779
96,butembo,0.15,29.2833,16.72,76,98,0.89,CD,1688880780
97,selfoss,63.9331,-20.9971,14.78,73,81,1.57,IS,1688880781
98,fort st. john,56.2499,-120.8529,20.94,49,40,3.09,CA,1688880782
99,hithadhoo,-0.6,73.0833,27.52,72,97,2.21,MV,1688880783
100,longyearbyen,78.2186,15.6401,6.91,87,75,5.14,SJ,1688880785
101,vuktyl,63.8567,57.3094,12.19,81,100,3.8,RU,1688880786
102,susuman,62.7833,148.1667,4.9,84,100,4.46,RU,1688880787
103,al artawiyah,26.5053,45.3444,39.9,7,5,4.08,SA,1688880788
104,stanley,54.868,-1.6985,15.85,92,75,4.12,GB,1688880790
105,tabas,33.5959,56.9244,34.29,11,0,1.2,IR,1688880791
106,olonkinbyen,70.9221,-8.7187,5.37,89,100,5.96,SJ,1688880792
107,udachny,66.4167,112.4,28.01,27,36,8.97,RU,1688880795
108,sabang,5.8933,95.3214,27.0,81,96,8.27,ID,1688880796
109,ketchikan,55.3422,-131.6461,13.09,95,39,1.72,US,1688880797
110,constantia,44.1833,28.65,18.38,54,99,11.59,RO,1688880798
111,kuching,1.55,110.3333,33.92,66,20,3.13,MY,1688880510
112,tiksi,71.6872,128.8694,2.77,68,64,2.21,RU,1688880800
